Date;Heure;Min;Sec;stationCode;stationName;stationState;stationKioskState;stationNbEDock;stationNbBike;stationNbEBike;nbFreeDock;nbFreeEDock;stationNbBikeOverflow;stationNbEBikeOverflow;stationInsertedInDb;stationOperativeDate
8/05/19;17;14;30;3044;Quai Augagneur;OPEN;;19;5;;12;;;;19-05-8 17:14:30;;
8/05/19;17;14;31;10025;Totem;OPEN;;16;9;;7;;;;19-05-8 17:14:31;;
8/05/19;17;14;31;8034;Berthelot / Villon;OPEN;;13;5;;8;;;;19-05-8 17:14:31;;
8/05/19;17;14;31;8030;Laënnec;OPEN;;16;11;;3;;;;19-05-8 17:14:31;;
8/05/19;17;14;32;5036;La Salette;OPEN;;15;11;;3;;;;19-05-8 17:14:32;;
8/05/19;17;14;32;8003;Claude Bernard Lyon I;OPEN;;16;3;;13;;;;19-05-8 17:14:32;;
8/05/19;17;14;32;8051;Hôpital St-Jean de Dieu;OPEN;;20;9;;11;;;;19-05-8 17:14:32;;
8/05/19;17;14;32;6036;Musée d\'art contemporain;OPEN;;23;14;;9;;;;19-05-8 17:14:32;;
8/05/19;17;14;33;7061;Jaurès / Université;OPEN;;20;2;;18;;;;19-05-8 17:14:33;;
8/05/19;17;14;33;10013;Cusset;OPEN;;20;1;;18;;;;19-05-8 17:14:33;;
8/05/19;17;14;33;2005;Confluence Hôtel de Région;OPEN;;32;24;;8;;;;19-05-8 17:14:33;;
8/05/19;17;14;34;1032;Pizay;OPEN;;22;0;;22;;;;19-05-8 17:14:34;;
8/05/19;17;14;34;5030;Charcot / Résidence universitaire;OPEN;;32;0;;32;;;;19-05-8 17:14:34;;
8/05/19;17;14;34;8039;Pierre Delore;OPEN;;20;13;;7;;;;19-05-8 17:14:34;;
8/05/19;17;14;34;10122;Verdun / Desgrand;OPEN;;21;5;;16;;;;19-05-8 17:14:34;;
8/05/19;17;14;35;4002;Mairie du 4e;OPEN;;20;0;;20;;;;19-05-8 17:14:35;;
8/05/19;17;14;35;3081;Part-Dieu / Francfort;OPEN;;28;26;;1;;;;19-05-8 17:14:35;;
8/05/19;17;14;35;4007;Place Flammarion;OPEN;;18;0;;17;;;;19-05-8 17:14:35;;
8/05/19;17;14;36;3011;Part Dieu / Cuirassier;OPEN;;59;49;;9;;;;19-05-8 17:14:36;;
8/05/19;17;14;36;10092;Montgolfier / Château Gaillard;OPEN;;17;14;;3;;;;19-05-8 17:14:36;;
8/05/19;17;14;36;10024;Maisons Neuves;OPEN;;23;3;;6;;;;19-05-8 17:14:36;;
8/05/19;17;14;37;8001;Université Lyon III;OPEN;;26;6;;20;;;;19-05-8 17:14:37;;
8/05/19;17;14;37;3005;Saxe-Gambetta;OPEN;;20;4;;16;;;;19-05-8 17:14:37;;
8/05/19;17;14;37;5016;Mairie du 5e;OPEN;;13;5;;7;;;;19-05-8 17:14:37;;
8/05/19;17;14;37;7038;Place Stalingard;OPEN;;13;2;;11;;;;19-05-8 17:14:37;;
8/05/19;17;14;38;7011;Berthelot / Garibaldi;OPEN;;10;10;;0;;;;19-05-8 17:14:38;;
8/05/19;17;14;38;6043;Cité Internationale - Cinéma;OPEN;;32;2;;30;;;;19-05-8 17:14:38;;
8/05/19;17;14;38;3088;Place Guichard;OPEN;;16;1;;15;;;;19-05-8 17:14:38;;
8/05/19;17;14;39;8040;Ambroise Paré;OPEN;;24;14;;10;;;;19-05-8 17:14:39;;
8/05/19;17;14;39;6001;Gare des Brotteaux;OPEN;;16;5;;11;;;;19-05-8 17:14:39;;
8/05/19;17;14;39;11002;Saint Clair;OPEN;;20;17;;3;;;;19-05-8 17:14:39;;
8/05/19;17;14;39;3003;Part Dieu / Deruelle;OPEN;;30;8;;12;;;;19-05-8 17:14:39;;
8/05/19;17;14;40;9002;Mairie du 9e;OPEN;;22;17;;4;;;;19-05-8 17:14:40;;
8/05/19;17;14;40;5008;Sainte Irénée;OPEN;;20;0;;20;;;;19-05-8 17:14:40;;
8/05/19;17;14;40;10054;Stalingrad / Meliès;OPEN;;24;2;;22;;;;19-05-8 17:14:40;;
8/05/19;17;14;41;5031;Ménival / J. Curie;OPEN;;20;2;;17;;;;19-05-8 17:14:41;;
8/05/19;17;14;41;2039;Charité / Récamier;OPEN;;17;16;;1;;;;19-05-8 17:14:41;;
